title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Asterix aux Jeux Olympiques,3007811,3,Pathé,France,Comédie,2008-01-30,74982618,Tous publics,114,3,7,2008,1,5,1
Quantum of Solace,1703897,4,Sony Pictures,Etats-Unis,Aventure - Action,2008-10-31,225000000,Tous publics,107,7,11,2008,10,44,4
Indiana Jones et le Royaume du crane de cristal,1674041,5,Paramount,Etats-Unis,Aventure - Action,2008-05-21,185000000,Tous publics,125,22,15,2008,5,21,2
Le Monde de Narnia : chapitre 2 - Prince Caspian,994686,6,Walt Disney Pictures,Etats-Unis,Fantasy,2008-06-25,225000000,Tous publics,169,3,13,2008,6,26,2
"The Dark Knight, Le Chevalier Noir",1271688,7,Warner Bros.,Etats-Unis,Comicbook,2008-08-13,185000000,Tous publics,150,10,14,2008,8,33,3
Kung Fu Panda,955571,8,Paramount,Etats-Unis,Animation 3D,2008-09-07,130000000,Tous publics,91,1,13,2008,9,36,3
La Momie 3 : La Malédiction du dragon,695628,9,Universal,Etats-Unis,Aventure - Action,2008-06-08,175000000,Tous publics,114,7,7,2008,6,23,2
Hellboy II les légions d'or maudites,408413,10,Universal,Etats-Unis,Comicbook,2008-10-29,85000000,Tous publics,110,7,4,2008,10,44,4
Madagascar 2 : la grande évasion,1338230,11,Paramount,Etats-Unis,Animation 3D,2008-03-12,150000000,Tous publics,89,6,2,2008,3,11,1
Harry Potter et le Prince de sang-mêlé,2882397,12,Warner Bros.,Etats-Unis,Fantasy,2009-07-15,200000000,Tous publics,153,8,8,2009,7,29,3
John Rambo,391630,13,Metropolitan,Etats-Unis,Guerre,2008-06-02,50000000,Moins de 12 ans,93,8,12,2008,6,23,2
Babylon A.D.,408410,14,Studiocanal,France,Science Fiction,2008-08-20,61479748,Tous publics,101,3,14,2008,8,34,3
Iron Man,866316,16,SND,Etats-Unis,Comicbook,2008-04-30,140000000,Tous publics,130,7,12,2008,4,18,2
Speed Racer,61860,17,Warner Bros.,Etats-Unis,Aventure - Action,2008-06-18,120000000,Tous publics,135,5,5,2008,6,25,2
L'Incroyable Hulk,517088,18,SND,Etats-Unis,Comicbook,2008-07-23,125000000,Tous publics,114,7,7,2008,7,30,3
Hancock,1265163,19,Sony Pictures,Etats-Unis,Comicbook,2008-09-07,150000000,Tous publics,92,9,16,2008,9,36,3
Anges & Démons,805694,21,Sony Pictures,Etats-Unis,Thriller,2009-05-13,150000000,Tous publics,140,15,23,2009,5,20,2
Les Noces rebelles,409884,22,Paramount,Etats-Unis,Drame,2009-01-21,35000000,Tous publics,119,8,19,2009,1,4,1
L'Etrange histoire de Benjamin Button,826315,24,Warner Bros.,Etats-Unis,Comédie dramatique,2009-04-02,150000000,Tous publics,168,8,13,2009,4,14,2
Spider-Man 3,804345,25,Gaumont Sony,Etats-Unis,Comicbook,2007-01-05,258000000,Tous publics,135,12,7,2007,1,1,1
La Môme,1573648,26,TFM Distribution,France,Drame,2007-02-14,20757242,Tous publics,140,4,12,2007,2,7,1
Taxi 4,2010736,27,EuropaCorp,France,Comédie,2007-02-14,17316532,Tous publics,91,3,2,2007,2,7,1
"Pirates des Caraïbes, jusqu'au bout du monde",2709377,28,Walt Disney Pictures,Etats-Unis,Aventure - Action,2007-05-23,300000000,Tous publics,168,9,19,2007,5,21,2
"Ensemble, c'est tout",657191,29,Pathé,France,Romance,2007-03-21,12215023,Tous publics,97,2,6,2007,3,12,1
300,802975,30,Warner Bros.,Etats-Unis,Péplum,2007-03-21,60000000,Moins de 12 ans,117,5,11,2007,3,12,1
Molière,341820,33,Wild Bunch,France,Comédie,2007-01-31,11581667,Tous publics,120,4,5,2007,1,5,1
Ghost Rider,523901,34,SND,Etats-Unis,Comicbook,2007-02-21,120000000,Tous publics,114,9,7,2007,2,8,1
Les Vacances de Mr. Bean,383904,35,Studiocanal,Grande-Bretagne,Comédie,2007-04-18,20000000,Tous publics,89,4,9,2007,4,16,2
Zodiac,462343,38,Warner Bros.,Etats-Unis,Thriller,2007-05-17,85000000,Tous publics,156,8,12,2007,5,20,2
Jacquou Le Croquant,378651,42,Pathé,France,Drame,2007-01-17,20311000,Tous publics,150,1,4,2007,1,3,1
Pars vite et reviens tard,420262,44,Gaumont Sony,France,Thriller,2007-01-24,16026815,Tous publics,115,1,3,2007,1,4,1
