iter	RMSE
0	398375.7779
1	389061.1948
2	380620.1364
3	371857.8981
4	364062.2925
5	356071.0452
6	349079.5322
7	342369.3938
8	335664.5751
9	329229.8228
10	322955.3026
11	317411.7508
12	311961.6591
13	306623.3058
14	302081.8771
15	297112.3053
16	292286.5674
17	288127.1041
18	284074.373
19	280417.6658
20	276641.1469
21	272972.0305
22	269198.5619
23	266311.2276
24	263744.7925
25	260409.3777
26	257826.3416
27	255450.2543
28	252652.8963
29	250314.1247
30	248148.3738
31	245806.4539
32	243791.6595
33	241652.9588
34	239431.3606
35	237385.5752
36	235501.5243
37	233808.7784
38	232185.8414
39	230433.4112
40	229217.8356
41	227841.0537
42	226371.8024
43	225102.3171
44	224055.2218
45	222774.5198
46	221609.2589
47	220574.8488
48	219484.018
49	218538.9355
50	217541.1294
51	216700.6687
52	215830.351
53	214971.812
54	213953.6815
55	212892.0638
56	211908.0598
57	211262.716
58	210524.2452
59	209725.1286
60	209004.2938
61	208159.3422
62	207181.5056
63	206479.0815
64	205688.6503
65	205123.7657
66	204619.4218
67	204016.4897
68	203526.3891
69	203063.4477
70	202432.4664
71	201833.7682
72	201139.6717
73	200697.0987
74	200208.7789
75	199620.2685
76	199019.0024
77	198540.9297
78	198163.7499
79	197383.6054
80	196745.0943
81	196275.1016
82	195813.3937
83	195234.173
84	194683.9788
85	194256.3862
86	193953.3142
87	193638.72
88	193115.8141
89	192774.1722
90	192307.3069
91	192026.091
92	191731.1177
93	191366.6376
94	190906.5525
95	190570.449
96	190267.9526
97	189895.742
98	189526.8288
99	188970.7494
100	188772.2332
101	188435.8765
102	188100.0499
103	187744.0944
104	187420.8593
105	187271.4005
106	187053.2285
107	186733.8836
108	186485.7881
109	186035.1179
110	185887.3509
111	185686.2341
112	185375.4467
113	185188.8207
114	184795.8932
115	184537.9912
116	184261.1553
117	184107.0931
118	183999.3438
119	183678.8103
120	183464.3361
121	183065.4825
122	182799.5715
123	182651.8468
124	182292.0234
125	182138.9426
126	181922.5092
127	181719.3671
128	181378.8596
129	181115.2987
130	180852.8351
131	180681.4651
132	180511.2176
133	180329.0553
134	179832.3297
135	179630.1499
136	179419.6959
137	179163.3816
138	179025.6853
139	178870.1792
140	178642.7583
141	178424.73
142	178071.2854
143	177871.0733
144	177497.3323
145	177343.123
146	177141.7494
147	176945.6437
148	176730.9763
149	176528.5701
150	176274.301
151	176009.634
152	175698.178
153	175369.1026
154	175248.1308
155	175095.3379
156	174929.6863
157	174698.3089
158	174515.421
159	174353.3748
160	174083.7926
161	173809.6666
162	173630.8995
163	173442.4273
164	173087.4004
165	172784.2001
166	172635.5713
167	172471.4882
168	172342.8261
169	172193.8181
170	171970.2921
171	171779.3524
172	171504.3135
173	171375.3889
174	171177.5511
175	170744.641
176	170585.4242
177	170421.5468
178	170215.3357
179	169968.4244
180	169769.3735
181	169392.2407
182	169199.3749
183	168884.7723
184	168640.2126
185	168499.1709
186	168193.534
187	167929.8638
188	167744.0404
189	167611.5045
190	167495.4734
191	167334.1388
192	167204.3026
193	166977.5896
194	166848.0326
195	166596.912
196	166441.3991
197	166274.3663
198	166048.4441
199	165896.0961
200	165734.624
201	165532.4497
202	165362.322
203	165155.0123
204	164956.6872
205	164616.328
206	164296.8278
207	164131.0451
208	164016.3279
209	163835.4554
210	163688.6106
211	163547.8789
212	163200.6017
213	163040.1559
214	162825.0863
215	162652.5117
216	162533.7914
217	162341.8002
218	162242.0328
219	161874.0656
220	161593.7093
221	161257.7513
222	161090.1569
223	160906.3777
224	160778.6783
225	160398.0053
226	160153.0303
227	159931.8914
228	159582.1192
229	159455.4431
230	159324.8933
231	159153.7094
232	158881.9927
233	158740.1238
234	158447.9504
235	158189.0046
236	157882.4445
237	157765.5491
238	157656.6292
239	157318.3854
240	157085.2924
241	156915.5804
242	156798.337
243	156695.3581
244	156577.2919
245	156408.5367
246	156205.7575
247	156094.7755
248	155844.9963
249	155625.4026
250	155423.6355
251	155152.1846
252	155004.3005
253	154746.2657
254	154572.5723
255	154308.5989
256	154067.8705
257	153849.5764
258	153557.5217
259	153450.4882
260	153186.5423
261	153046.4218
262	152906.0605
263	152747.2317
264	152648.341
265	152554.9538
266	152310.2287
267	152103.3392
268	151900.5535
269	151769.8155
270	151629.1827
271	151407.7479
272	151263.7306
273	151133.3958
274	151008.7464
275	150797.9255
276	150677.4634
277	150553.7056
278	150363.8119
279	150243.4694
280	150096.0822
281	149927.6794
282	149835.5016
283	149544.6162
284	149214.841
285	148994.2769
286	148871.7009
287	148760.7843
288	148383.1415
289	148240.889
290	148115.1368
291	147917.467
292	147786.8513
293	147627.5323
294	147442.336
295	147291.1187
296	147130.8446
297	146992.0062
298	146652.8662
299	146501.1904
300	146342.0105
301	146181.1621
302	146080.4759
303	145846.9518
304	145694.9218
305	145475.4791
306	145350.7971
307	145208.1225
308	145100.4079
309	144832.0747
310	144721.3179
311	144426.1337
312	144284.8504
313	144208.8695
314	144046.6131
315	143933.5589
316	143718.2816
317	143622.5117
318	143471.6696
319	143357.2948
320	143247.0567
321	143078.0498
322	142906.9923
323	142701.5422
324	142573.648
325	142480.6744
326	142395.0138
327	142120.8446
328	141960.2155
329	141865.9187
330	141681.0308
331	141421.2067
332	141298.0274
333	141087.7942
334	140987.3989
335	140829.8836
336	140745.9524
337	140559.0497
338	140380.3221
339	140272.6668
340	140169.0696
341	139969.9616
342	139841.9824
343	139780.6205
344	139606.5113
345	139423.2897
346	139309.6901
347	139189.9233
348	139023.56
349	138784.7872
350	138695.6391
351	138577.7016
352	138284.1544
353	138189.5601
354	138051.325
355	137943.2042
356	137879.1511
357	137696.8427
358	137539.5149
359	137417.4075
360	137325.8361
361	137153.5105
362	137068.4105
363	136989.7199
364	136859.8366
365	136755.8422
366	136674.2655
367	136552.4583
368	136457.7368
369	136383.4686
370	136273.769
371	136196.6771
372	136111.9977
373	136011.857
374	135866.2617
375	135755.6898
376	135646.4068
377	135550.5711
378	135463.6768
379	135360.1663
380	135266.3971
381	135134.3029
382	135011.4534
383	134862.2157
384	134796.1036
385	134621.3834
386	134494.4122
387	134315.208
388	134242.8896
389	134122.9764
390	134009.9651
391	133935.0636
392	133751.8376
393	133647.7657
394	133566.2005
395	133356.288
396	133183.234
397	133097.8026
398	133006.2658
399	132919.4785
400	132831.1155
401	132741.1883
402	132656.104
403	132605.0737
404	132561.7946
405	132417.0072
406	132262.8033
407	132173.2315
408	132035.835
409	131895.4606
410	131747.4081
411	131610.1558
412	131478.6279
413	131388.785
414	131264.4501
415	131115.7201
416	131036.4781
417	130888.2312
418	130777.263
419	130669.26
420	130521.5703
