iter	Passed	Remaining
0	1	1593
1	3	1585
2	4	1589
3	6	1593
4	8	1682
5	10	1698
6	11	1692
7	14	1760
8	15	1733
9	17	1720
10	18	1705
11	20	1682
12	22	1680
13	23	1677
14	25	1687
15	27	1687
16	29	1687
17	30	1678
18	32	1668
19	33	1651
20	35	1639
21	36	1632
22	38	1626
23	40	1628
24	41	1619
25	43	1611
26	44	1616
27	46	1608
28	47	1603
29	49	1594
30	50	1581
31	52	1586
32	54	1598
33	56	1595
34	57	1589
35	59	1585
36	60	1579
37	62	1571
38	63	1568
39	65	1562
40	66	1556
41	68	1551
42	69	1547
43	71	1547
44	72	1548
45	74	1544
46	76	1547
47	77	1543
48	79	1538
49	80	1532
50	82	1530
51	83	1530
52	85	1525
53	87	1528
54	88	1522
55	89	1516
56	91	1509
57	92	1503
58	93	1496
59	95	1489
60	96	1484
61	97	1481
62	99	1475
63	100	1472
64	101	1466
65	103	1459
66	104	1455
67	105	1449
68	107	1444
69	108	1439
70	109	1433
71	111	1433
72	112	1434
73	114	1432
74	116	1431
75	117	1426
76	118	1424
77	120	1426
78	122	1424
79	123	1418
80	124	1414
81	126	1415
82	128	1416
83	129	1414
84	131	1413
85	132	1412
86	134	1409
87	135	1406
88	137	1402
89	138	1400
90	139	1395
91	140	1390
92	142	1389
93	143	1385
94	144	1380
95	146	1377
96	147	1373
97	148	1371
98	150	1367
99	151	1364
100	152	1361
101	154	1357
102	155	1353
103	156	1350
104	158	1347
105	159	1344
106	160	1342
107	162	1341
108	164	1342
109	165	1340
110	166	1336
111	168	1333
112	169	1330
113	170	1327
114	172	1324
115	173	1321
116	174	1318
117	175	1314
118	177	1311
119	178	1309
120	180	1308
121	181	1305
122	182	1303
123	184	1300
124	185	1297
125	187	1298
126	188	1296
127	189	1293
128	191	1290
129	192	1287
130	193	1285
131	195	1284
132	196	1280
133	197	1279
134	199	1276
135	200	1273
136	201	1271
137	203	1268
138	204	1266
139	206	1266
140	207	1264
141	209	1267
142	211	1265
143	212	1263
144	213	1260
145	215	1258
146	216	1256
147	217	1253
148	219	1250
149	220	1248
150	221	1246
151	222	1243
152	224	1244
153	226	1242
154	227	1240
155	228	1238
156	230	1235
157	231	1233
158	232	1231
159	233	1228
160	235	1227
161	236	1224
162	238	1223
163	240	1226
164	242	1225
165	244	1228
166	245	1227
167	247	1227
168	249	1225
169	250	1224
170	252	1223
171	253	1221
172	255	1219
173	256	1218
174	258	1216
175	259	1214
176	260	1213
177	262	1210
178	263	1208
179	264	1206
180	266	1203
181	267	1200
182	268	1198
183	269	1196
184	271	1194
185	272	1192
186	273	1190
187	274	1187
188	276	1185
189	277	1183
190	278	1181
191	280	1179
192	281	1177
193	283	1175
194	284	1173
195	285	1171
196	287	1169
