titre,date_de_sortie,genres,directeur,acteurs,synopsis,note_presse,note_spectateurs,nationalite,budget,box_office_france,prix_et_nominations
Indiana Jones et le Cadran de la Destinée,"
28 juin 2023
","['Action', 'Aventure']",James Mangold,"['Harrison Ford', 'Phoebe Waller-Bridge', 'Mads Mikkelsen']","
","3,5","3,6",[' U.S.A.'],,"
2 039 369 entrées
","
1 nomination
"
Les Vengeances de Maître Poutifard,"
28 juin 2023
","['Comédie', 'Famille']",Pierre-François Martin-Laval,"['Christian Clavier', 'Isabelle Nanty', 'Jennie-Anne Walker']","
Instituteur à la retraite, Robert Poutifard n'a plus qu'une idée en tête : se venger de ses anciens élèves qui ont gâché sa vie ! Pour l’aider à mettre en place son plan diabolique, il a la meilleure des complices à ses côtés... sa maman. Ensemble, ils vont leur en faire voir de toutes les couleurs ! La vengeance est un plat qui se mange froid, et Robert Poutifard leur prépare une vraie surprise du chef.
","2,0","2,1","[' France', ' Belgique']",,"
360 119 entrées
","
360 119 entrées
"
Il Boemo,"
21 juin 2023
","['Biopic', 'Historique']",Petr Vaclav,"['Vojtěch Dyk', 'Barbara Ronchi', 'Elena Radonicich']","
1764. Dans une Venise libertine, le musicien et compositeur Josef Myslivecek, surnommé « Il Boemo », ne parvient pas à percer malgré son talent. Sa liaison avec une femme de la cour lui permet d’accéder à son rêve et de composer un opéra. Dès lors sa renommée grandit, mais jusqu’où ira-t-il ? La vie, l’œuvre et les frasques d’un compositeur de génie oublié que le jeune Mozart admirait.
","4,0","4,0","[' République tchèque', ' Italie', ' Slovaquie']",,"
87 911 entrées
","
87 911 entrées
"
Vers un avenir radieux,"
28 juin 2023
","['Comédie dramatique', 'Drame', 'Comédie']",Nanni Moretti,"['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando']","
Giovanni, cinéaste italien renommé, s’apprête à tourner son nouveau film. Mais entre son couple en crise, son producteur français au bord de la faillite et sa fille qui le délaisse, tout semble jouer contre lui ! Toujours sur la corde raide, Giovanni va devoir repenser sa manière de faire s’il veut mener tout son petit monde vers un avenir radieux.
","3,9","3,3",[' Italie'],,"
159 876 entrées
","
5 nominations
"
Insidious: The Red Door,"
5 juillet 2023
","['Epouvante-horreur', 'Fantastique']",Patrick Wilson,"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins']","
Afin de se débarrasser définitivement de leurs démons, Josh et son fils Dalton, à présent étudiant, doivent plonger encore plus profondément dans le Lointain pour affronter le sombre passé de leur famille et une multitude d'esprits toujours plus inquiétants qui se cache derrière la Porte Rouge.
","2,1","2,2",[' U.S.A.'],,"
424 958 entrées
","
424 958 entrées
"
Farang,"
28 juin 2023
",['Action'],Xavier Gens,"['Nassim Lyes', 'Loryn Nounay', 'Olivier Gourmet']","
Sam est un détenu exemplaire. A quelques mois de sa sortie de prison, il prépare assidument sa réinsertion. Lors d'une permission, son passé le rattrape et un accident ne lui laisse qu'un seul choix : la fuite. Cinq ans plus tard, il a refait sa vie en Thaïlande, où il a fondé la famille dont il a toujours rêvé. Mais Narong, le parrain local, l'oblige à plonger à nouveau dans la délinquance. Quand Sam veut tout arrêter, Narong s’attaque à sa famille… Sam va traverser la Thaïlande pour se venger de son bourreau.
","3,4","3,7",[' France'],,"
151 430 entrées
","
151 430 entrées
"
À contretemps,"
5 juillet 2023
",['Thriller'],Juan Diego Botto,"['Penélope Cruz', 'Luis Tosar', 'Christian Checa']","
Avocat aux fortes convictions sociales, Rafa a jusqu’à minuit pour retrouver la mère d’une fillette laissée seule dans un logement insalubre. A défaut, la police placera la petite en foyer. Dans sa course contre la montre, Rafa croise la route d’Azucena, une femme injustement menacée d’expulsion, et qui pour s’en sortir, tente de provoquer une révolte citoyenne. Alors que les heures défilent implacablement pour ces deux âmes en lutte, Madrid devient le lieu de toutes les colères..
","3,6","3,5","[' Espagne', ' Belgique']",,"
36 483 entrées
","
2 nominations
"
Une nuit,"
5 juillet 2023
","['Romance', 'Drame']",Alex Lutz,"['Alex Lutz', 'Karin Viard', 'Jérôme Pouly']","
","3,2","3,3",[' France'],,"
82 849 entrées
","
1 prix et 8 nominations
"
Spider-Man : Across The Spider-Verse,"
31 mai 2023
","['Animation', 'Action', 'Fantastique', 'Aventure']",Joaquim Dos Santos,"['Stéphane Bak', 'Shameik Moore', 'Shirine Boutella']","
Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence. Mais lorsque les héros s'opposent sur la façon de gérer une nouvelle menace, Miles se retrouve confronté à eux et doit redéfinir ce que signifie être un héros afin de sauver les personnes qu'il aime le plus.
","4,1","4,5",[' U.S.A.'],,"
1 793 738 entrées
","
1 793 738 entrées
"
Asteroid City,"
21 juin 2023
",['Comédie dramatique'],Wes Anderson,"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks']","
","3,3","3,0",[' U.S.A.'],,"
294 235 entrées
","
5 nominations
"
Yo Mama,"
5 juillet 2023
",['Comédie'],Leïla Sy,"['Claudia Tagbo', ' Zaho', 'Sophie-Marie Larrouy']","
Affolées par le clip de rap de leurs fils de 11 ans, trois mères de famille décident de se lancer à leur tour dans le rap avec un clip explosif dans le but de rétablir la communication au sein de leur foyer. Contre toute attente, les trois meilleures amies rencontrent un succès retentissant mais vont vite être dépassées par ce monde dont elles ignorent les codes et leur soudaine notoriété...
","2,4","2,8",[' France'],,"
111 663 entrées
","
111 663 entrées
"
